0.125,multiple
240,HP
2,SmokePointCount
2500,SmokeTime
14,SmokePoint-1-x
0,SmokePoint-1-z
-12,SmokePoint-2-x
0,SmokePoint-2-z
180,Collision-x
40,Collision-y
18,Collision-z
30000,Mass
30,Engine_MaxOutput
0.75,Engine_bIncRate
0.8,MaxSpeed
3200,WeaponCoolDown
3,WeaponDamage
20,WeaponHigh
17,WeaponInitialSpeed
8,WeaponCount
50,Weapon-1-x
4,Weapon-1-z
50,Weapon-2-x
-4,Weapon-2-z
30,Weapon-3-x
4,Weapon-3-z
30,Weapon-4-x
-4,Weapon-4-z
-30,Weapon-5-x
4,Weapon-5-z
-30,Weapon-6-x
-4,Weapon-6-z
-50,Weapon-7-x
4,Weapon-7-z
-50,Weapon-8-x
-4,Weapon-8-z
