0.13,multiple
270,HP
1,SmokePointCount
3500,SmokeTime
0,SmokePoint-1-x
0,SmokePoint-1-z
190,Collision-x
40,Collision-y
18,Collision-z
28000,Mass
42,Engine_MaxOutput
1.5,Engine_bIncRate
0.75,MaxSpeed
4400,WeaponCoolDown
14,WeaponDamage
20,WeaponHigh
17,WeaponInitialSpeed
9,WeaponCount
30,Weapon-1-x
3,Weapon-1-z
30,Weapon-2-x
0,Weapon-2-z
30,Weapon-3-x
-3,Weapon-3-z
40,Weapon-4-x
3,Weapon-4-z
40,Weapon-5-x
0,Weapon-5-z
40,Weapon-6-x
-3,Weapon-6-z
-70,Weapon-7-x
3,Weapon-7-z
-70,Weapon-8-x
0,Weapon-8-z
70,Weapon-9-x
-3,Weapon-9-z
999999,グナイゼナウ
