0.13,multiple
290,HP
1,SmokePointCount
3000,SmokeTime
-15,SmokePoint-1-x
0,SmokePoint-1-z
180,Collision-x
40,Collision-y
18,Collision-z
45000,Mass
42,Engine_MaxOutput
0.6,Engine_bIncRate
0.55,MaxSpeed
7000,WeaponCoolDown
16,WeaponDamage
20,WeaponHigh
15,WeaponInitialSpeed
8,WeaponCount
20,Weapon-1-x
3,Weapon-1-z
20,Weapon-2-x
1,Weapon-2-z
20,Weapon-3-x
-1,Weapon-3-z
20,Weapon-4-x
-3,Weapon-4-z
60,Weapon-5-x
3,Weapon-5-z
60,Weapon-6-x
1,Weapon-6-z
60,Weapon-7-x
-1,Weapon-7-z
60,Weapon-8-x
-3,Weapon-8-z
999999,ƒ_ƒ“ƒPƒ‹ƒN
